期次|开奖号码||||
150825010|5|8|3|1|2
150825011|4|2|3|6|5
150825012|5|1|0|8|1
150825013|3|4|0|1|2
150825014|7|8|0|8|0
150825015|8|3|2|9|2
150825016|8|4|8|3|2
150825017|4|5|8|6|8
150825018|8|5|0|1|7
150825019|4|4|7|9|5
150825020|1|7|3|4|5
150825021|9|3|2|4|2
150825022|2|6|8|5|2
150825024|0|7|5|7|7
150825025|7|5|2|4|9
150825026|8|2|9|4|0
150825027|9|5|5|8|7
150825028|1|9|1|3|0
150825029|0|1|7|0|9
150825030|4|2|5|3|7
150825031|2|8|4|2|6
150825032|5|4|3|3|0
150825033|7|5|2|6|2
150825034|6|6|8|4|2
150825035|8|4|8|2|9
150825036|3|5|3|1|3
150825037|6|8|6|6|2
150825038|2|9|6|9|9
150825039|4|8|3|9|1
150825040|6|7|1|6|7
150825041|5|6|3|6|6
150825042|0|0|1|1|3
150825043|0|7|2|4|6
150825044|6|7|0|9|0
150825045|8|0|3|4|9
150825046|6|0|6|1|8
150825047|1|0|8|7|0
150825048|8|2|7|7|2
150825049|7|8|3|1|3
150825050|7|2|8|3|6
150825051|3|2|2|6|9
150825052|8|1|9|0|2
150825053|4|3|2|8|1
150825054|8|4|4|0|3
150825055|6|8|9|2|6
150825056|6|7|4|3|4
150825057|8|9|6|3|5
150825058|5|4|7|1|9
150825059|9|1|1|8|3
150825060|6|6|2|6|0
150825061|5|8|7|4|1
150825062|9|3|0|0|4
150825063|8|2|7|5|0
150825064|2|7|8|4|2
150825065|1|2|8|2|7
150825066|5|7|4|7|7
150825067|0|7|1|1|1
150825068|9|0|6|1|9
150825069|7|5|1|9|2
150825070|1|8|7|1|3
150825071|1|4|3|6|5
150825072|4|4|2|9|6
150825073|3|9|9|0|6
150825074|5|8|0|3|7
150825075|1|7|4|0|9
150825076|8|6|0|0|9
150825077|2|7|4|9|1
150825078|4|5|9|9|5
150825079|9|9|8|0|0
150825080|1|2|8|5|4
150825081|6|7|1|4|9
150825082|9|0|4|9|5
150825083|2|2|3|8|0
150825084|0|3|2|9|3
150825085|0|5|1|4|9
150825086|2|9|9|0|7
150825087|9|0|3|5|2
150825088|6|5|9|8|8
150825089|7|3|5|3|9
150825090|5|7|9|7|5
150825091|3|7|2|2|5
150825092|3|9|3|4|2
150825093|6|2|9|7|9
150825094|9|8|8|1|2
150825095|8|4|1|7|5
150825096|5|6|6|7|7
150825098|2|4|6|6|0
150825099|9|3|3|7|6
150825100|1|1|9|7|9
150825101|2|3|1|5|4
150825102|7|6|6|1|1
150825103|6|4|2|0|2
150825104|4|9|3|4|5
150825105|0|8|5|4|6
150825106|3|5|2|7|0
150825107|1|2|4|1|7
150825108|9|4|5|8|7
150825109|5|8|6|2|1
150825110|5|9|3|6|5
150825111|1|7|3|0|7
150825112|6|3|0|4|8
150825113|1|5|8|3|7
150825114|0|9|4|2|6
150825115|3|7|8|1|0
150825116|9|9|9|4|2
150825117|7|9|0|9|6
150825118|3|3|2|1|3
150825119|5|3|3|8|9
150825120|7|9|7|1|1
150826001|1|1|8|8|4
150826002|1|0|3|4|2
150826003|0|2|6|0|0
150826004|7|6|0|4|4
150826005|3|0|0|7|6
150826006|4|7|2|8|5
150826007|5|8|3|0|5
150826008|7|4|8|5|3
150826009|2|1|7|7|4
150826010|4|3|0|1|4
150826011|9|6|9|3|7
150826012|5|3|4|7|1
150826013|1|5|2|8|9
150826014|0|5|5|5|5
150826015|0|0|3|2|4
150826016|6|6|6|4|1
150826017|0|3|5|2|3
150826018|5|8|8|4|0
150826019|1|5|6|0|2
150826020|4|1|7|4|4
150826021|7|6|8|7|2
150826022|6|3|7|4|2
150826023|9|4|9|7|7
150826024|4|4|6|2|7
150826025|8|2|9|4|5
150826026|2|2|2|2|2
150826027|8|3|5|5|6
150826028|6|1|3|6|8
150826029|9|5|3|4|0
150826030|4|5|5|1|3
150826031|7|9|8|0|8
150826032|2|0|8|1|4
150826033|4|2|3|0|6
150826034|4|7|5|9|2
150826035|5|0|1|8|3
150826036|6|7|0|4|0
150826037|5|1|0|6|2
150826038|6|7|5|3|5
150826039|0|4|9|6|3
150826040|8|9|6|6|5
150826041|1|1|0|1|0
150826042|2|9|7|4|2
150826043|6|6|4|7|8
150826044|8|4|7|7|0
150826045|8|6|8|1|3
150826046|6|6|9|5|4
150826047|9|4|2|9|1
150826048|5|9|8|0|0
150826049|5|7|5|5|6
150826050|2|5|7|1|5
150826051|1|3|9|8|6
150826052|0|2|1|7|0
150826053|7|9|3|0|5
150826054|5|3|8|8|5
150826055|8|6|1|2|8
150826056|6|7|9|7|7
150826057|5|4|0|5|4
150826058|0|2|9|9|6
150826059|3|0|4|0|7
150826060|4|3|1|1|4
150826061|8|2|5|6|5
150826062|5|2|5|6|2
150826063|1|9|2|6|0
150826064|2|9|2|3|7
150826065|6|9|7|0|4
150826066|8|5|4|6|5
150826067|9|6|1|3|2
150826068|6|4|1|6|6
150826069|3|3|9|7|5
150826070|1|1|5|9|6
150826071|3|5|0|1|5
150826072|6|7|5|1|2
150826073|2|1|7|6|9
150826074|7|4|7|0|4
150826075|3|3|0|4|2
150826076|9|3|9|3|6
150826077|8|5|1|2|5
150826078|0|5|4|0|3
150826079|3|6|4|0|9
150826080|3|8|8|6|8
150826081|5|7|0|8|0
150826082|7|8|9|9|0
150826083|5|1|2|7|3
150826084|2|6|4|4|5
150826085|5|7|3|3|4
150826086|3|0|9|6|7
150826087|4|2|6|9|2
150826088|0|5|1|5|4
150826089|1|8|0|9|0
150826090|4|9|0|3|8
150826091|6|1|7|3|7
150826092|6|7|9|3|5
150826093|5|0|0|5|8
150826094|5|0|5|5|7
150826095|0|3|6|5|6
150826096|3|9|5|0|7
150826097|5|8|9|2|4
150826099|3|6|2|8|5
150826100|2|7|0|6|7
150826101|7|5|3|7|8
150826102|3|9|6|2|6
150826103|4|6|6|3|2
150826104|7|1|6|4|4
150826105|0|8|0|1|8
150826106|0|7|4|3|7
150826107|3|8|0|1|8
150826108|1|5|9|8|8
150826109|8|1|0|1|0
150826110|2|9|4|6|6
150826111|6|2|4|7|3
150826112|1|5|4|1|2
150826113|0|8|6|2|8
150826114|7|2|6|7|7
150826115|3|7|6|1|6
150826116|2|5|5|7|4
150826117|6|7|7|1|7
150826118|7|4|1|4|4
150826119|2|9|9|9|0
150826120|3|8|2|2|7
150827001|1|9|2|1|2
150827002|1|1|7|4|2
150827003|2|0|7|8|4
150827004|0|8|7|2|1
150827005|0|9|2|5|2
150827006|4|9|7|6|8
150827007|0|7|3|8|1
150827008|1|4|3|4|4
150827009|2|8|4|0|0
150827010|8|2|3|2|3
150827011|2|5|7|2|4
150827012|9|5|3|0|4
150827013|0|2|6|8|5
150827014|4|5|9|7|6
150827015|1|7|5|5|7
150827016|4|7|1|8|3
150827017|1|7|3|6|5
150827018|1|6|9|9|9
150827019|5|9|7|5|9
150827020|0|6|4|7|8
150827021|0|7|4|1|0
150827022|9|1|6|7|0
150827023|0|3|6|2|7
150827024|4|0|2|3|2
150827025|4|6|9|1|9
150827026|5|5|3|9|9
150827027|5|9|2|4|2
150827028|7|3|0|5|9
150827029|0|6|0|0|6
150827030|4|2|9|0|5
150827031|4|8|6|9|1
150827032|8|6|9|8|7
150827033|4|4|7|0|0
150827034|4|6|2|2|7
150827035|7|1|8|5|9
150827036|0|6|7|7|1
150827037|3|8|7|1|1
150827038|1|1|8|1|1
150827039|4|6|4|5|5
150827040|1|9|8|7|8
150827041|4|8|4|4|0
150827042|6|4|6|2|7
150827043|2|3|4|1|3
150827044|3|8|6|6|4
150827045|8|0|6|7|6
150827046|3|2|7|2|0
150827047|1|0|0|6|2
150827048|1|6|6|7|1
150827049|9|7|4|4|6
150827050|7|9|4|9|1
150827051|6|0|5|1|3
150827052|2|5|1|0|2
150827053|1|3|2|2|6
150827054|2|0|0|4|6
150827055|8|1|3|8|5
150827056|7|4|9|7|3
150827057|2|0|4|9|9
150827058|8|3|7|3|6
150827059|5|0|3|6|4
150827060|1|7|5|9|9
150827061|0|3|9|0|7
150827062|7|5|8|7|6
150827063|9|6|9|2|8
150827064|9|8|0|0|9
150827065|6|0|0|7|8
150827066|5|6|6|2|6
150827067|1|0|0|6|2
150827068|3|6|5|2|3
150827069|5|2|9|0|0
150827070|1|9|2|8|7
150827071|1|8|0|7|6
150827072|4|6|7|1|2
150827073|1|8|7|5|9
150827074|7|0|6|6|6
150827075|9|4|9|8|0
150827076|0|2|3|2|4
150827077|9|5|9|8|6
150827078|9|5|1|5|2
150827079|2|3|7|7|9
150827080|5|2|5|5|6
150827081|3|7|9|0|7
150827082|8|8|7|5|8
150827083|9|8|1|3|5
150827084|9|6|8|9|0
150827085|8|6|6|6|9
150827086|8|4|0|5|4
150827087|4|1|5|8|2
150827088|0|9|9|1|4
150827089|1|3|1|5|9
150827090|4|0|8|9|6
150827091|1|6|5|9|1
150827092|1|3|1|3|5
150827093|0|3|0|1|0
150827094|9|0|0|7|7
150827095|6|0|6|3|5
150827096|2|4|2|2|5
150827097|3|5|8|6|8
150827098|3|2|2|7|9
150827099|7|0|1|1|3
150827100|1|7|5|1|0
150827101|8|1|9|7|0
150827102|0|8|8|8|9
150827103|3|4|3|6|5
150827104|7|9|9|5|2
150827105|0|4|7|0|0
150827106|3|4|5|5|1
150827107|6|4|1|9|1
150827108|6|3|8|4|3
150827109|6|7|1|8|4
150827110|7|5|0|9|4
150827111|5|4|6|5|1
150827112|2|5|2|7|4
150827113|0|8|7|2|9
150827114|9|3|5|0|0
150827115|0|6|3|1|5
150827116|8|7|3|3|7
150827117|6|7|7|2|0
150827118|0|7|0|6|3
150827119|3|2|2|0|7
150827120|7|8|1|0|7
150828001|0|0|0|0|9
150828002|9|4|6|0|6
150828004|9|6|6|9|5
150828005|9|5|2|7|1
150828008|7|0|7|4|9
150828009|8|7|8|1|5
150828010|0|0|8|3|1
150828011|5|2|9|8|9
150828012|2|4|4|2|1
150828013|2|1|2|6|9
150828015|9|9|8|6|7
150828016|2|3|1|8|3
150828017|6|2|2|4|4
150828019|7|3|6|7|8
150828020|1|0|2|9|8
150828021|4|4|5|8|2
150828022|3|8|9|5|8
150828023|7|5|2|9|9
150828024|3|3|2|3|7
150828025|9|2|6|9|0
150828026|2|3|1|9|6
150828027|4|2|6|2|0
150828028|2|8|3|4|3
150828029|0|5|0|0|8
150828030|7|6|3|5|8
150828031|1|1|7|5|7
150828032|5|2|6|0|2
150828033|0|6|5|4|3
150828034|4|8|2|3|1
150828035|8|3|6|5|5
150828036|7|5|6|6|9
150828037|4|0|9|8|1
150828038|7|1|5|0|8
150828039|9|0|9|3|9
150828040|9|4|1|4|5
150828041|6|3|4|8|1
150828042|6|0|4|4|8
150828043|9|1|8|7|6
150828044|6|4|4|3|1
150828045|4|8|6|7|6
150828046|7|9|2|1|3
150828047|9|2|3|8|3
150828048|6|3|5|4|2
150828049|9|5|9|0|2
150828050|3|0|6|2|7
150828051|0|4|6|7|3
150828052|8|9|0|8|2
150828053|5|7|6|2|2
150828054|8|3|4|9|2
150828055|5|5|3|2|5
150828056|5|5|2|0|4
150828057|7|4|6|9|8
150828058|6|7|4|6|0
150828059|9|1|9|2|4
150828060|5|6|7|4|3
150828061|6|0|7|2|5
150828062|8|4|3|6|0
150828063|5|4|8|3|4
150828064|8|4|8|9|8
150828065|1|3|2|5|7
150828066|5|0|4|4|6
150828067|7|2|4|0|9
150828068|9|2|8|3|6
150828069|1|0|5|2|7
150828070|3|5|2|4|5
150828071|7|9|4|5|0
150828072|8|8|7|9|5
150828073|3|9|1|4|5
150828074|2|9|4|4|2
150828075|6|9|2|5|8
150828076|3|3|4|4|3
150828077|1|7|8|0|1
150828078|1|0|6|3|9
150828079|6|1|0|2|1
150828080|4|1|0|7|5
150828081|0|8|6|4|4
150828082|0|8|9|3|8
150828083|4|3|6|4|6
150828084|5|5|5|8|3
150828085|1|2|4|6|2
150828086|0|0|8|5|6
150828087|8|2|6|1|9
150828088|9|4|1|4|3
150828089|4|5|7|7|9
150828090|5|1|2|4|1
150828091|8|4|6|0|1
150828092|1|6|6|1|8
150828093|5|2|7|4|7
150828094|4|5|8|7|6
150828095|1|5|8|9|9
150828096|2|3|8|0|3
150828097|7|8|5|9|2
150828098|7|7|3|2|5
150828099|9|2|7|4|4
150828100|8|3|1|0|1
150828101|0|4|5|6|5
150828102|4|4|9|6|1
150828103|0|8|4|7|5
150828104|6|7|9|1|6
150828105|4|0|2|0|5
150828106|7|6|0|7|0
150828107|5|4|5|7|2
150828108|3|2|4|6|3
150828109|5|8|2|6|3
150828110|1|9|6|1|8
150828111|8|2|5|8|8
150828112|6|5|5|5|6
150828113|2|5|1|1|8
150828114|1|6|2|5|4
150828115|3|7|0|5|3
150828116|5|6|2|4|5
150828117|6|4|5|3|6
150828118|7|1|3|8|5
150828119|9|3|1|8|4
150828120|6|8|2|0|1
150829001|3|8|0|2|3
150829002|3|0|3|8|2
150829003|3|3|0|9|0
150829004|5|6|4|3|0
150829005|6|3|1|9|4
150829006|6|2|8|1|0
150829007|1|7|1|8|2
150829008|1|8|3|7|6
150829009|5|5|3|6|7
150829010|4|9|5|4|9
150829011|9|8|9|3|2
150829012|0|7|4|9|0
150829013|8|7|4|0|1
150829014|9|0|7|2|4
150829015|5|6|6|6|7
150829016|6|1|2|3|0
150829017|5|9|3|8|5
150829018|9|7|7|1|0
150829019|9|5|4|6|4
150829020|2|6|3|5|0
150829024|0|8|5|2|4
150829025|9|2|7|7|4
150829026|5|5|5|5|9
150829027|9|4|8|5|1
150829028|8|5|3|1|3
150829029|7|1|4|2|0
150829030|3|5|9|9|0
150829031|9|1|9|1|3
150829032|6|7|7|2|7
150829033|2|0|9|5|7
150829034|8|8|5|8|4
150829035|1|9|8|5|1
150829036|3|8|1|8|0
150829037|4|4|3|5|7
150829038|6|1|8|8|2
150829039|5|1|3|6|0
150829040|5|4|8|6|8
150829041|9|0|9|3|1
150829042|2|3|2|3|6
150829043|5|3|3|4|2
150829044|4|5|5|8|8
150829045|7|7|3|4|8
150829046|5|0|0|6|6
150829047|0|4|7|8|2
150829048|2|5|7|0|2
150829049|8|5|5|3|1
150829050|8|4|7|3|5
150829051|2|3|4|2|6
150829052|2|8|1|9|4
150829053|2|2|1|3|7
150829054|0|9|5|8|8
150829055|4|7|2|6|7
150829056|6|5|2|0|0
150829057|3|6|6|4|7
150829058|9|6|2|4|1
150829059|2|9|1|1|9
150829060|0|9|7|3|5
150829061|9|4|7|1|8
150829062|3|5|3|6|4
150829063|1|2|4|9|1
150829064|8|9|9|0|9
150829065|0|1|3|4|5
150829066|2|4|2|5|7
150829067|8|2|1|4|6
150829068|2|4|5|0|2
150829069|6|9|6|3|3
150829070|4|6|5|3|0
150829071|7|0|8|0|4
150829072|9|3|0|0|5
150829073|4|0|0|8|8
150829074|6|6|3|4|8
150829075|6|9|7|4|9
150829076|7|7|3|0|7
150829077|8|0|7|7|9
150829078|3|3|2|1|3
150829079|1|5|3|9|7
150829080|1|1|3|4|7
150829081|4|0|8|1|7
150829082|7|4|9|0|7
150829083|2|5|2|1|3
150829084|6|9|4|4|1
150829085|4|0|8|2|4
150829086|7|1|1|9|0
150829087|4|8|8|1|1
150829088|2|5|0|4|6
150829089|6|8|0|3|7
150829090|2|5|5|8|4
150829091|8|7|2|9|1
150829092|2|1|7|6|9
150829093|0|7|6|9|4
150829094|6|6|3|9|6
150829095|0|6|5|1|4
150829096|4|1|0|4|5
150829100|8|7|3|7|7
150829101|0|2|3|7|4
150829102|4|3|0|7|0
150829103|5|2|3|8|7
150829104|4|9|9|8|0
150829105|5|1|6|5|8
150829106|0|0|9|4|7
150829107|7|7|1|8|0
150829108|5|4|8|7|7
150829109|2|7|7|9|6
150829111|6|5|6|5|6
150829112|9|1|5|1|5
150829113|0|5|8|2|0
150829114|1|5|6|6|7
150829115|1|2|0|7|1
150829116|1|9|4|1|7
150829117|3|4|0|5|4
150829118|9|7|2|9|3
150829119|9|7|7|2|5
150829120|1|4|0|0|9
150830001|6|7|0|1|0
150830002|8|6|0|3|6
150830003|4|2|5|4|5
150830004|3|3|6|1|2
150830005|9|1|1|5|5
150830006|5|4|1|1|5
150830007|8|0|1|6|4
150830008|6|7|3|1|0
150830009|4|8|6|4|7
150830010|5|9|3|6|2
150830011|5|6|8|4|4
150830012|1|2|5|9|1
150830013|7|9|4|6|9
150830014|5|6|5|0|2
150830015|8|1|9|4|8
150830016|2|2|8|0|7
150830017|2|7|3|0|2
150830018|6|5|4|4|5
150830019|5|0|5|1|2
150830020|1|9|2|8|4
150830021|9|2|5|3|0
150830022|4|6|3|0|5
150830023|0|5|0|1|2
150830024|8|1|5|1|3
150830025|0|3|0|3|1
150830026|4|5|4|6|5
150830027|4|4|3|5|4
150830028|1|3|5|4|1
150830029|9|9|5|6|6
150830030|6|0|7|0|9
150830031|9|7|4|6|9
150830032|4|7|4|3|6
150830033|0|6|0|6|2
150830034|8|7|3|6|7
150830035|6|1|3|7|6
150830036|3|1|0|0|6
150830037|7|1|7|7|2
150830038|2|1|3|0|2
150830039|2|5|0|3|6
150830040|7|8|2|0|9
150830041|9|2|7|4|2
150830042|9|0|3|6|0
150830043|9|8|6|9|7
150830044|9|0|1|2|8
150830045|1|9|4|9|4
150830046|3|1|9|7|4
150830047|5|1|2|1|3
150830048|5|2|8|8|3
150830049|5|0|8|3|9
150830050|4|1|7|1|2
150830051|2|8|0|9|8
150830052|2|5|8|4|0
150830053|2|4|0|2|7
150830054|3|4|0|4|8
150830055|1|6|5|4|5
150830056|0|1|8|1|4
150830057|6|2|3|4|9
150830058|1|2|8|8|4
150830059|4|2|3|3|2
150830060|4|1|0|3|2
150830061|2|0|2|0|3
150830062|7|2|0|5|4
150830063|9|5|5|9|1
150830064|2|5|3|8|0
150830065|0|4|3|8|3
150830066|5|6|0|4|1
150830067|9|4|2|7|2
150830068|9|0|0|7|8
150830069|1|7|2|0|1
150830070|6|3|0|2|5
150830071|4|7|4|0|1
150830072|5|2|7|6|3
150830073|2|9|8|3|2
150830074|3|7|7|3|3
150830075|4|7|9|1|4
150830076|3|5|1|1|8
150830077|5|7|3|8|3
150830078|0|4|9|0|1
150830079|3|9|0|5|1
150830080|4|7|5|4|7
150830081|5|0|8|5|0
150830082|3|3|2|4|3
150830083|7|1|4|2|4
150830084|7|1|1|9|0
150830085|0|9|9|2|7
150830086|1|2|7|7|1
150830087|2|1|5|0|7
150830088|8|7|5|5|4
150830089|2|2|8|7|6
150830090|0|4|7|5|8
150830091|2|8|2|2|1
150830092|3|6|4|5|7
150830093|5|7|8|8|9
150830094|8|6|2|3|3
150830095|5|9|1|1|3
150830096|5|7|9|0|1
150830097|7|9|6|8|1
150830098|9|5|1|8|0
150830099|5|4|3|3|1
150830100|8|0|3|7|6
150830101|8|5|7|7|9
150830102|6|2|0|8|4
150830103|0|3|9|0|8
150830104|4|8|9|7|3
150830105|9|5|8|9|9
150830106|1|8|0|0|5
150830107|7|9|0|5|5
150830108|5|6|0|2|6
150830109|4|2|4|7|9
150830110|2|5|3|4|4
150830111|9|5|7|9|7
150830112|3|6|4|3|4
150830113|0|7|7|5|0
150830114|0|1|3|6|5
150830115|7|0|8|1|8
150830116|6|0|1|8|0
150830117|7|1|3|3|8
150830118|9|8|0|1|7
150830119|6|7|0|4|5
150830120|3|0|8|8|7
150831001|5|9|4|3|8
150831002|8|0|2|6|8
150831003|6|3|9|6|8
150831004|0|2|8|6|3
150831005|9|0|8|7|3
150831006|6|7|5|8|5
150831007|8|8|6|1|1
150831008|0|2|3|5|3
150831009|2|7|6|8|6
150831010|0|1|0|4|3
150831011|3|1|1|1|9
150831012|3|1|3|7|6
150831013|0|4|8|4|5
150831014|9|6|4|2|2
150831015|5|4|5|0|3
150831016|4|1|0|8|8
150831017|3|5|6|7|3
150831018|8|8|1|2|0
150831019|9|4|9|6|9
150831020|0|0|0|4|5
150831021|9|3|0|0|7
150831022|7|5|5|2|4
150831023|7|9|7|8|7
150831024|0|4|0|2|4
150831025|3|3|8|6|9
150831026|9|8|3|3|7
150831027|9|1|7|8|0
150831028|1|1|8|6|4
150831029|1|4|8|6|4
150831030|4|4|7|2|3
150831031|9|3|6|6|3
150831032|6|5|9|7|6
150831033|5|2|7|4|8
150831034|5|2|7|2|1
150831035|1|9|7|2|8
150831036|0|7|4|2|0
150831037|6|9|3|9|8
150831038|2|4|0|5|4
150831039|2|9|6|5|0
150831040|5|8|5|7|4
150831041|6|6|8|3|1
150831042|8|4|0|2|4
150831043|3|2|6|4|3
150831044|8|1|5|4|1
150831045|4|9|1|5|2
150831046|0|2|7|3|4
150831047|0|2|9|0|8
150831048|7|7|7|8|6
150831049|2|0|9|8|5
150831050|8|3|5|1|9
150831051|3|4|8|9|2
150831052|0|1|8|8|9
150831053|8|6|8|7|9
150831054|2|8|6|3|9
150831055|8|5|3|2|7
150831056|0|9|6|2|4
150831057|3|7|0|2|2
150831058|0|1|5|8|8
150831059|9|3|2|9|1
150831060|9|2|2|0|4
150831061|6|6|6|5|8
150831062|9|6|8|9|5
150831063|7|7|6|4|2
150831064|8|4|8|8|5
150831065|6|0|6|0|3
150831066|1|1|7|6|5
150831067|8|7|8|4|4
150831068|3|9|3|3|1
150831069|7|5|5|0|1
150831070|1|3|5|2|4
150831071|6|4|7|2|5
150831072|2|9|4|2|3
150831073|5|3|4|2|2
150831074|7|2|0|0|5
150831075|7|1|7|0|9
150831076|8|9|2|3|0
150831077|7|1|9|9|2
150831078|9|6|5|4|7
150831079|8|1|5|1|9
150831080|5|0|3|9|1
150831081|9|0|5|1|3
150831082|8|6|1|3|5
150831083|2|4|1|9|0
150831084|7|2|6|1|7
150831085|5|2|5|0|2
150831086|4|2|5|0|6
150831087|7|4|6|2|3
150831088|3|0|4|7|5
150831089|3|7|9|2|0
150831090|2|4|2|8|0
150831091|1|8|5|4|3
150831092|5|1|1|5|4
150831093|7|3|4|6|2
150831094|4|7|9|5|8
150831095|4|3|0|3|6
150831096|1|3|7|6|1
150831097|8|5|8|1|8
150831098|2|2|6|1|8
150831099|1|4|1|3|1
150831100|3|7|7|4|4
150831101|0|7|3|7|6
150831102|6|1|8|5|0
150831103|1|0|9|0|9
150831104|0|1|5|7|2
150831105|2|8|7|3|8
150831106|9|1|0|2|3
150831107|2|0|3|6|4
150831108|4|0|8|8|9
150831109|4|8|2|7|3
150831110|7|4|7|1|1
150831111|3|9|0|9|1
150831112|6|1|5|5|8
150831114|3|4|4|2|7
150831115|8|2|1|7|5
150831116|2|0|1|6|1
150831117|6|6|3|8|5
150831118|8|1|9|2|6
150831119|7|8|3|1|4
150831120|5|5|4|6|6
150901001|5|0|9|5|1
150901002|1|3|4|1|9
150901003|5|6|3|0|9
150901004|7|2|2|0|1
150901005|7|4|5|1|9
150901006|2|6|9|3|1
150901007|3|9|7|5|6
150901008|6|1|9|4|9
150901009|2|4|3|4|6
150901010|1|0|9|4|0
150901011|4|4|0|6|5
150901012|3|0|0|5|9
150901013|5|0|2|5|1
150901014|0|3|1|1|9
150901015|1|0|6|6|0
150901016|1|9|8|4|1
150901017|4|8|7|2|1
150901018|8|1|3|9|3
150901019|2|4|1|3|2
150901020|2|5|4|0|3
150901021|7|7|5|7|9
150901022|4|0|9|1|8
150901023|8|4|4|5|6
150901024|9|3|7|9|4
150901025|2|6|2|8|8
150901026|9|5|9|9|6
150901027|8|6|0|6|6
150901028|6|3|3|5|8
150901029|1|7|6|9|1
150901030|1|5|8|2|3
150901031|4|8|1|6|4
150901032|2|4|7|1|7
150901033|4|1|0|7|8
150901034|7|0|7|7|4
150901035|1|4|4|2|0
150901036|9|8|8|3|2
150901037|8|9|1|6|6
150901038|3|3|1|3|5
150901039|2|6|9|9|2
150901040|3|2|9|2|7
150901041|4|3|5|8|6
150901042|9|4|7|0|1
150901043|3|5|8|8|1
150901044|2|0|6|6|4
150901045|0|3|8|2|9
150901046|3|4|9|6|8
150901047|1|9|5|4|1
150901048|4|7|6|0|1
150901049|5|8|5|6|1
150901050|2|7|9|5|8
150901051|8|0|3|6|9
150901052|2|5|2|0|5
150901053|2|5|1|0|2
150901054|5|2|7|8|1
150901055|4|3|6|1|3
150901056|0|0|0|9|8
150901057|8|5|5|7|4
150901058|2|0|4|1|5
150901059|7|8|9|8|0
150901060|1|2|2|1|9
150901061|7|6|8|8|4
150901062|6|1|8|7|6
150901063|3|3|6|9|9
150901064|5|5|0|0|9
150901065|5|3|5|0|4
150901066|5|4|3|0|5
150901067|3|0|1|2|3
150901068|3|7|1|0|6
150901069|8|9|1|2|3
150901070|8|7|6|2|3
150901071|8|6|8|3|7
150901072|8|6|7|9|5
150901073|2|3|1|6|8
150901074|7|6|6|3|3
150901075|3|2|4|4|0
150901076|1|9|4|0|6
150901077|2|1|0|1|8
150901078|9|2|7|4|4
150901079|6|5|2|7|7
150901080|7|6|9|0|8
150901081|6|3|7|8|3
150901082|9|1|9|8|5
150901083|6|4|1|3|1
150901084|9|5|1|1|6
150901085|2|2|0|9|3
150901086|2|6|3|9|0
150901087|5|0|0|5|9
150901088|8|5|1|0|0
150901089|2|2|2|3|7
150901090|7|8|4|6|8
150901091|5|3|6|7|2
150901092|2|6|1|2|5
150901093|2|8|7|5|3
150901094|5|7|0|9|1
150901095|5|4|4|2|4
150901096|9|8|2|3|2
150901098|7|8|2|4|9
150901099|9|2|5|1|7
150901100|1|6|8|4|0
150901101|0|9|5|7|2
150901102|8|8|7|1|7
150901103|3|9|5|8|1
150901104|7|2|1|4|1
150901105|5|7|8|6|7
150901107|2|6|8|2|3
150901109|5|3|5|5|5
150901110|8|9|7|6|1
150901111|9|0|3|1|0
150901112|2|8|9|1|3
150901113|4|1|6|8|1
150901114|8|7|2|2|9
150901115|7|2|4|1|2
150901116|4|3|4|6|0
150901117|9|9|5|5|7
150901118|4|7|9|9|9
150901119|9|2|8|4|8
150901120|5|5|5|4|2
150902001|7|9|1|8|8
150902002|1|5|6|9|9
150902003|6|7|1|5|0
150902004|1|1|9|9|1
150902006|7|0|6|2|4
150902007|7|9|6|6|8
150902008|8|2|1|7|2
150902009|7|4|3|4|6
150902010|4|9|4|6|9
150902011|0|9|0|0|6
150902012|3|2|6|7|2
150902013|0|1|8|7|5
150902014|6|0|5|8|6
150902015|5|7|7|5|6
150902016|3|8|0|3|3
150902017|5|7|5|1|8
150902018|8|5|8|0|7
150902019|8|5|9|3|2
150902020|8|4|9|8|5
150902021|0|5|0|9|0
150902022|9|0|7|4|1
150902023|2|0|6|4|3
150902024|6|2|6|3|8
150902025|5|6|9|0|5
150902026|7|0|7|2|4
150902027|9|7|0|4|1
150902028|4|6|5|7|7
150902029|0|2|4|3|1
150902030|1|2|4|2|7
150902031|5|1|4|1|4
150902032|5|4|8|0|9
150902033|4|6|0|7|7
150902034|6|9|6|7|6
150902035|8|6|0|5|6
150902036|4|4|1|9|0
150902037|2|8|5|1|2
150902038|3|0|2|2|0
150902039|6|8|3|8|8
150902040|8|7|5|9|0
150902041|2|3|0|7|3
150902042|5|7|1|5|1
150902043|1|6|4|5|7
150902044|0|4|3|5|9
150902045|9|8|1|3|6
150902046|9|3|5|0|3
150902047|9|5|9|0|1
150902048|7|6|9|9|3
150902049|7|5|1|0|5
150902050|0|5|2|9|8
150902051|0|8|2|4|6
150902052|2|5|1|7|8
150902053|8|5|1|8|8
150902054|0|5|3|9|1
150902055|3|5|6|5|7
150902056|1|2|5|1|0
150902057|4|5|6|9|3
150902058|6|1|7|9|9
150902059|9|7|4|5|6
150902060|4|1|3|6|2
150902061|7|1|0|9|9
150902062|6|5|2|9|4
150902063|5|7|2|7|0
150902064|8|1|2|2|3
150902065|1|2|0|0|0
150902066|1|2|9|9|5
150902067|9|4|4|1|1
150902068|1|9|5|6|0
